"collection","file","source","last_write_time","bytes"
"sessions","rollout-2026-08-11T21-01-28-019ff0e9-e6fd-7e71-ae21-959c88c2ae3f.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-01-28-019ff0e9-e6fd-7e71-ae21-959c88c2ae3f.jsonl","2026-08-11T21:01:28","158506"
"sessions","rollout-2026-07-10T16-24-06-019f4b20-7757-7871-8173-5727efa4599c.jsonl","C:\Users\30479\.codex\sessions\2026\07\10\rollout-2026-07-10T16-24-06-019f4b20-7757-7871-8173-5727efa4599c.jsonl","2026-07-13T14:38:59","486993"
"archived_sessions","rollout-2026-07-10T19-19-59-019f4bc1-6847-7061-b2ab-7f1886a299c7.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T19-19-59-019f4bc1-6847-7061-b2ab-7f1886a299c7.jsonl","2026-07-10T19:26:00","161089"
"archived_sessions","rollout-2026-07-10T19-14-59-019f4bbc-e152-7213-aaa3-04aa5cf039d2.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T19-14-59-019f4bbc-e152-7213-aaa3-04aa5cf039d2.jsonl","2026-07-10T19:18:36","105382"
"sessions","rollout-2026-07-10T15-25-14-019f4aea-9094-7153-97f6-7943ae8b14c4.jsonl","C:\Users\30479\.codex\sessions\2026\07\10\rollout-2026-07-10T15-25-14-019f4aea-9094-7153-97f6-7943ae8b14c4.jsonl","2026-07-10T19:13:37","936578"
"sessions","rollout-2026-07-10T19-08-48-019f4bb7-37a2-7353-aacd-239199aa0e0f.jsonl","C:\Users\30479\.codex\sessions\2026\07\10\rollout-2026-07-10T19-08-48-019f4bb7-37a2-7353-aacd-239199aa0e0f.jsonl","2026-07-10T19:11:39","142374"
"archived_sessions","rollout-2026-07-10T18-28-40-019f4b92-6c89-7502-9f2c-f04db40c6085.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T18-28-40-019f4b92-6c89-7502-9f2c-f04db40c6085.jsonl","2026-07-10T18:43:29","96311"
"archived_sessions","rollout-2026-07-10T18-18-50-019f4b89-708d-75a0-822f-fe4b97dfda3f.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T18-18-50-019f4b89-708d-75a0-822f-fe4b97dfda3f.jsonl","2026-07-10T18:22:30","151992"
"archived_sessions","rollout-2026-07-10T17-39-57-019f4b65-d3cf-73f0-8863-1364ee7c352e.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T17-39-57-019f4b65-d3cf-73f0-8863-1364ee7c352e.jsonl","2026-07-10T17:46:16","147053"
"archived_sessions","rollout-2026-07-10T17-33-33-019f4b5f-fa1a-7392-9f32-d361e2f232ae.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T17-33-33-019f4b5f-fa1a-7392-9f32-d361e2f232ae.jsonl","2026-07-10T17:38:25","234940"
"archived_sessions","rollout-2026-07-10T17-21-57-019f4b55-5994-7373-a41b-653001b948cc.jsonl","C:\Users\30479\.codex\archived_sessions\rollout-2026-07-10T17-21-57-019f4b55-5994-7373-a41b-653001b948cc.jsonl","2026-07-10T17:33:19","327438"
"sessions","rollout-2026-07-10T17-27-54-019f4b5a-cd66-7403-85df-91466f49fed7.jsonl","C:\Users\30479\.codex\sessions\2026\07\10\rollout-2026-07-10T17-27-54-019f4b5a-cd66-7403-85df-91466f49fed7.jsonl","2026-07-10T17:29:18","42032"
